,date,home_team,away_team,home_score,away_score,tournament
0,11/1/1969,Italy,France,1,0,Euro
1,11/1/1969,Denmark,England,4,3,Euro
2,11/2/1969,England,France,2,0,Euro
3,11/2/1969,Italy,Denmark,3,1,Euro
4,8/25/1975,Thailand,Australia,3,2,AFC Championship
5,8/25/1975,Hong Kong,New Zealand,0,2,AFC Championship
6,8/27/1975,Thailand,Singapore,3,0,AFC Championship
7,8/27/1975,New Zealand,Malaysia,3,0,AFC Championship
8,8/29/1975,Australia,Singapore,3,0,AFC Championship
9,8/29/1975,Hong Kong,Malaysia,0,2,AFC Championship
10,8/31/1975,New Zealand,Australia,3,2,AFC Championship
11,8/31/1975,Thailand,Malaysia,3,0,AFC Championship
12,9/2/1975,Australia,Malaysia,5,0,AFC Championship
13,9/2/1975,New Zealand,Thailand,3,1,AFC Championship
14,8/2/1977,Taiwan,Indonesia,5,0,AFC Championship
15,8/3/1977,Thailand,Singapore,2,0,AFC Championship
16,8/5/1977,Indonesia,Japan,1,0,AFC Championship
17,8/5/1977,Thailand,Hong Kong,5,0,AFC Championship
18,8/7/1977,Taiwan,Japan,7,0,AFC Championship
19,8/7/1977,Singapore,Hong Kong,1,0,AFC Championship
20,8/9/1977,Taiwan,Singapore,3,0,AFC Championship
21,8/9/1977,Thailand,Indonesia,2,1,AFC Championship
22,8/11/1977,Singapore,Indonesia,2,0,AFC Championship
23,8/11/1977,Taiwan,Thailand,1,0,AFC Championship
24,7/18/1979,Italy,Northern Ireland,4,0,Euro
25,7/18/1979,Denmark,France,3,1,Euro
26,7/19/1979,England,Finland,3,1,Euro
27,7/19/1979,Sweden,Wales,3,0,Euro
28,7/20/1979,Northern Ireland,Norway,1,4,Euro
29,7/20/1979,France,Scotland,0,0,Euro
30,7/21/1979,Switzerland,Finland,1,1,Euro
31,7/21/1979,Wales,Netherlands,0,2,Euro
32,7/22/1979,Italy,Norway,2,1,Euro
33,7/22/1979,Denmark,Scotland,2,0,Euro
34,7/23/1979,England,Switzerland,2,0,Euro
35,7/23/1979,Sweden,Netherlands,1,1,Euro
36,7/25/1979,Italy,England,3,1,Euro
37,7/25/1979,Denmark,Sweden,1,0,Euro
38,7/27/1979,Sweden,England,0,0,Euro
39,7/28/1979,Italy,Denmark,0,2,Euro
40,1/11/1980,India S,Western Australia,2,0,AFC Championship
41,1/12/1980,India N,Taiwan,0,5,AFC Championship
42,1/12/1980,India S,Hong Kong,2,0,AFC Championship
43,1/13/1980,Taiwan,Malaysia,2,0,AFC Championship
44,1/13/1980,India N,Western Australia,0,3,AFC Championship
45,1/14/1980,Western Australia,Malaysia,1,0,AFC Championship
46,1/14/1980,India N,Hong Kong,1,0,AFC Championship
47,1/15/1980,India S,Taiwan,0,0,AFC Championship
48,1/15/1980,Hong Kong,Malaysia,2,1,AFC Championship
49,1/16/1980,India S,India N,1,0,AFC Championship
50,1/16/1980,Taiwan,Western Australia,2,0,AFC Championship
51,1/17/1980,Taiwan,Hong Kong,3,0,AFC Championship
52,1/17/1980,India N,Malaysia,0,3,AFC Championship
53,1/18/1980,Hong Kong,Western Australia,1,0,AFC Championship
54,1/18/1980,India S,Malaysia,0,0,AFC Championship
55,1/19/1980,Taiwan,Western Australia,5,0,AFC Championship
56,1/19/1980,India S,Hong Kong,3,1,AFC Championship
57,1/20/1980,India S,Taiwan,0,2,AFC Championship
58,6/7/1981,Hong Kong,Philippines,2,0,AFC Championship
59,6/7/1981,Taiwan,Japan,1,0,AFC Championship
60,6/8/1981,India,Singapore,5,0,AFC Championship
61,6/8/1981,Thailand,Indonesia,3,0,AFC Championship
62,6/10/1981,Hong Kong,Singapore,1,0,AFC Championship
63,6/10/1981,India,Philippines,8,0,AFC Championship
64,6/11/1981,Taiwan,Indonesia,10,0,AFC Championship
65,6/11/1981,Thailand,Japan,2,0,AFC Championship
66,6/12/1981,Hong Kong,India,0,0,AFC Championship
67,6/12/1981,Singapore,Philippines,4,1,AFC Championship
68,6/13/1981,Taiwan,Thailand,3,0,AFC Championship
69,6/13/1981,Japan,Indonesia,1,0,AFC Championship
70,6/15/1981,Thailand,India,1,0,AFC Championship
71,6/15/1981,Hong Kong,Taiwan,0,1,AFC Championship
72,6/17/1981,Hong Kong,India,0,2,AFC Championship
73,6/17/1981,Thailand,Taiwan,0,5,AFC Championship
74,8/18/1982,Finland,Sweden,0,6,UEFA Euro qualification
75,8/28/1982,Norway,Iceland,2,2,UEFA Euro qualification
76,9/4/1982,Northern Ireland,Scotland,1,2,UEFA Euro qualification
77,9/9/1982,Iceland,Sweden,0,6,UEFA Euro qualification
78,9/15/1982,Finland,Norway,0,3,UEFA Euro qualification
79,9/19/1982,England,Northern Ireland,7,1,UEFA Euro qualification
80,9/19/1982,Scotland,Republic of Ireland,3,0,UEFA Euro qualification
81,9/25/1982,Belgium,Netherlands,3,2,UEFA Euro qualification
82,9/29/1982,Sweden,Norway,2,0,UEFA Euro qualification
83,10/2/1982,Northern Ireland,Republic of Ireland,1,2,UEFA Euro qualification
84,10/3/1982,Scotland,England,0,4,UEFA Euro qualification
85,10/10/1982,Switzerland,Portugal,2,0,UEFA Euro qualification
86,10/13/1982,Netherlands,Denmark,2,1,UEFA Euro qualification
87,10/30/1982,France,Italy,1,0,UEFA Euro qualification
88,11/6/1982,Denmark,Belgium,1,0,UEFA Euro qualification
89,11/7/1982,Republic of Ireland,England,0,1,UEFA Euro qualification
90,11/14/1982,Italy,Portugal,3,0,UEFA Euro qualification
91,12/4/1982,Portugal,France,0,0,UEFA Euro qualification
92,2/12/1983,France,Portugal,2,0,UEFA Euro qualification
93,3/5/1983,Germany,Belgium,1,1,UEFA Euro qualification
94,3/18/1983,Republic of Ireland,Scotland,1,1,UEFA Euro qualification
95,3/19/1983,Netherlands,Germany,2,2,UEFA Euro qualification
96,4/3/1983,Portugal,Switzerland,1,1,UEFA Euro qualification
97,4/10/1983,Thailand,Malaysia,8,0,AFC Championship
98,4/10/1983,India,Philippines,5,0,AFC Championship
99,4/10/1983,Singapore,Hong Kong,2,0,AFC Championship
100,4/11/1983,Thailand,Singapore,3,0,AFC Championship
